Date,Close/Last,Volume,Open,High,Low
04/12/2024,$171.05,64722670,$172.34,$173.8099,$170.3644
04/11/2024,$174.60,94515990,$172.55,$175.88,$168.51
04/10/2024,$171.76,84532410,$173.04,$174.93,$170.01
04/09/2024,$176.88,103232700,$172.91,$179.22,$171.92
04/08/2024,$172.98,104423300,$169.34,$174.50,$167.79
04/05/2024,$164.90,143157600,$169.08,$170.86,$160.51
04/04/2024,$171.11,123162000,$170.07,$177.19,$168.01
04/03/2024,$168.38,82950140,$164.02,$168.82,$163.28
04/02/2024,$166.63,116650600,$164.75,$167.69,$163.43
04/01/2024,$175.22,81562130,$176.17,$176.75,$170.21
03/28/2024,$175.79,77654840,$177.45,$179.57,$175.30
03/27/2024,$179.83,81804040,$181.41,$181.91,$176.00
03/26/2024,$177.67,113186200,$178.58,$184.25,$177.38
03/25/2024,$172.63,74228620,$168.76,$175.24,$168.73
03/22/2024,$170.83,75580640,$166.69,$171.20,$166.30
03/21/2024,$172.82,73178010,$176.39,$178.18,$171.80
03/20/2024,$175.66,83846730,$173.00,$176.25,$170.82
03/19/2024,$171.32,77271430,$172.36,$172.82,$167.42
03/18/2024,$173.80,108214400,$170.02,$174.72,$165.90
03/15/2024,$163.57,97146830,$163.16,$165.1845,$160.76
